Split,Model,RMSE,MAE,Pearson,Spearman,R2
Position-held-out,Mean,0.585508446019702,0.3969107158751966,,,-3.7969674893112426e-07
Position-held-out,Substitution,0.5846001103486985,0.3942917267251437,0.0934862061790883,0.139570902948289,0.0030999391559866
Position-held-out,Substitution + Position,0.585531217754379,0.3949489233588995,0.0864306921383977,0.1243460652792951,-7.816571777152781e-05
Position-held-out,ESM-2 + Ridge,0.6041847494422,0.43103800220796873,0.1892942088039662,0.1790655640808421,-0.06481302336494754
Position-held-out,ESM-2 + MLP,0.7217616907112768,0.5347880730060621,0.07035051239034247,0.07918142330321704,-0.5195727284938603
