Split,Model,RMSE,MAE,Pearson,Spearman,R2
Position-held-out,Mean,0.585508446019702,0.3969107158751966,,,-3.7969674893112426e-07
Position-held-out,Substitution,0.5846001103486985,0.3942917267251437,0.09348620617908836,0.13957090294828906,0.0030999391559866085
Position-held-out,Substitution + Position,0.585531217754379,0.39494892335889953,0.0864306921383977,0.12434606527929512,-7.816571777152781e-05
Random mutation,Mean,0.6463392626813736,0.4281106395430082,,,-0.0014723852220404066
Random mutation,Substitution,0.6390573120329458,0.42446759494059066,0.15112672970191757,0.17766993867749017,0.02096657719076167
Random mutation,Substitution + Position,0.6384207711147656,0.42454844632263733,0.15753429826356766,0.1793970096923397,0.02291596248596195
